trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,11,-93.67618448412928,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",25,0,-223.62396746020687,"{0: 10, 1: 3, 2: 6, 3: 4, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-76.07745160988519,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",25,0,-117.26643130830439,"{0: 11, 1: 4, 2: 9, 3: 1, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,0,-120.45462149227576,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",25,0,-90.45048847690349,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",25,7,-4.240591980146489,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",25,0,-151.40425913705326,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",25,15,-16.86936525885298,"{0: 6, 1: 2, 2: 2, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.8149999999999998}",20,0,-62.350264106102124,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-92.50916113155147,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.8049999999999998}",20,0,-25.72953040296569,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-59.852974078236656,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.7949999999999998}",35,0,-180.34741817596628,"{0: 19, 1: 6, 2: 7, 3: 1, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.7899999999999998}",25,0,-137.26499608384563,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
